Iout (VM=-0.15) X,Iout (VM=-0.15) Y,Iout (VM=-0.075) X,Iout (VM=-0.075) Y,Iout (VM=0) X,Iout (VM=0) Y,Iout (VM=0.075) X,Iout (VM=0.075) Y,Iout (VM=0.15) X,Iout (VM=0.15) Y
-0.2616000000000007,1.958411055678909e-09,-0.2616000000000007,6.848115816433235e-10,-0.2616000000000007,5.534858012578606e-10,-0.2616000000000007,5.412775235881259e-10,-0.2616000000000007,5.399871659949858e-10
-0.2610000000000007,1.983599420088512e-09,-0.2610000000000007,6.875811121322223e-10,-0.2610000000000007,5.537308347095607e-10,-0.2610000000000007,5.412930985909811e-10,-0.2610000000000007,5.399819901115841e-10
-0.2604000000000007,2.009176143113072e-09,-0.2604000000000007,6.904043945016799e-10,-0.2604000000000007,5.539807210720601e-10,-0.2604000000000007,5.41309128828232e-10,-0.2604000000000007,5.399768723441358e-10
-0.2598000000000007,2.03514501361767e-09,-0.2598000000000007,6.932824705991531e-10,-0.2598000000000007,5.542355532119691e-10,-0.2598000000000007,5.413256229009004e-10,-0.2598000000000007,5.399718133079751e-10
-0.2592000000000007,2.0615097842881e-09,-0.2592000000000007,6.962164022121325e-10,-0.2592000000000007,5.544954261614022e-10,-0.2592000000000007,5.413425890427549e-10,-0.2592000000000007,5.399668137826745e-10
-0.2586000000000007,2.088274168487325e-09,-0.2586000000000007,6.992072710361562e-10,-0.2586000000000007,5.547604361553819e-10,-0.2586000000000007,5.413600359216297e-10,-0.2586000000000007,5.399618746225519e-10
-0.2580000000000007,2.115441837617784e-09,-0.2580000000000007,7.022561794449215e-10,-0.2580000000000007,5.550306817682721e-10,-0.2580000000000007,5.413779725179855e-10,-0.2580000000000007,5.399569963724837e-10
-0.2574000000000007,2.143016418340589e-09,-0.2574000000000007,7.053642507072881e-10,-0.2574000000000007,5.553062633507929e-10,-0.2574000000000007,5.413964077154879e-10,-0.2574000000000007,5.399521798119897e-10
-0.2568000000000007,2.171001488460615e-09,-0.2568000000000007,7.08532629481962e-10,-0.2568000000000007,5.555872830758296e-10,-0.2568000000000007,5.414153508885797e-10,-0.2568000000000007,5.399474259305379e-10
-0.2562000000000008,2.199400575266659e-09,-0.2562000000000008,7.117624815905169e-10,-0.2562000000000008,5.558738452877835e-10,-0.2562000000000008,5.414348110156219e-10,-0.2562000000000008,5.399427352985609e-10
-0.2556000000000008,2.228217150727257e-09,-0.2556000000000008,7.15054995174066e-10,-0.2556000000000008,5.561660563656033e-10,-0.2556000000000008,5.414547979917851e-10,-0.2556000000000008,5.399381088257994e-10
-0.2550000000000008,2.257454629676268e-09,-0.2550000000000008,7.184113801921491e-10,-0.2550000000000008,5.564640245544963e-10,-0.2550000000000008,5.414753213425959e-10,-0.2550000000000008,5.39933547405774e-10
-0.2544000000000008,2.28711636502945e-09,-0.2544000000000008,7.218328699566563e-10,-0.2544000000000008,5.567678603067762e-10,-0.2544000000000008,5.414963911837127e-10,-0.2544000000000008,5.399290517554742e-10
-0.2538000000000008,2.317205645415331e-09,-0.2538000000000008,7.253207203733571e-10,-0.2538000000000008,5.570776761027449e-10,-0.2538000000000008,5.415180172450449e-10,-0.2538000000000008,5.399246229498641e-10
-0.2532000000000008,2.347725690906312e-09,-0.2532000000000008,7.288762108344335e-10,-0.2532000000000008,5.573935868269948e-10,-0.2532000000000008,5.415402099926267e-10,-0.2532000000000008,5.399202615674071e-10
-0.2526000000000008,2.378679649959044e-09,-0.2526000000000008,7.325006445080177e-10,-0.2526000000000008,5.577157096049839e-10,-0.2526000000000008,5.415629801714231e-10,-0.2526000000000008,5.399159689354423e-10
-0.2520000000000008,2.410070595063873e-09,-0.2520000000000008,7.36195348770812e-10,-0.2520000000000008,5.580441633579481e-10,-0.2520000000000008,5.415863380177564e-10,-0.2520000000000008,5.399117455630938e-10
-0.2514000000000008,2.44190151974247e-09,-0.2514000000000008,7.399616756137175e-10,-0.2514000000000008,5.583790698367946e-10,-0.2514000000000008,5.416102946682882e-10,-0.2514000000000008,5.399075926218444e-10
-0.2508000000000009,2.47417533418209e-09,-0.2508000000000009,7.438010016375625e-10,-0.2508000000000009,5.587205532607484e-10,-0.2508000000000009,5.416348612733138e-10,-0.2508000000000009,5.399035109704812e-10
-0.2502000000000009,2.506894861324294e-09,-0.2502000000000009,7.477147291618088e-10,-0.2502000000000009,5.590687395519197e-10,-0.2502000000000009,5.416600490644079e-10,-0.2502000000000009,5.398995016489927e-10
-0.2496000000000009,2.540062833318756e-09,-0.2496000000000009,7.517042859632164e-10,-0.2496000000000009,5.59423757675225e-10,-0.2496000000000009,5.416858696685887e-10,-0.2496000000000009,5.398955656251195e-10
-0.2490000000000009,2.573681886915692e-09,-0.2490000000000009,7.557711258894693e-10,-0.2490000000000009,5.597857389740625e-10,-0.2490000000000009,5.417123348727088e-10,-0.2490000000000009,5.398917039973106e-10
-0.2484000000000009,2.607754559778361e-09,-0.2484000000000009,7.599167295362067e-10,-0.2484000000000009,5.601548172310975e-10,-0.2484000000000009,5.417394564593048e-10,-0.2484000000000009,5.398879176280613e-10
