Iout (IBIAS=2e-09) X,Iout (IBIAS=2e-09) Y,Iout (IBIAS=5e-09) X,Iout (IBIAS=5e-09) Y,Iout (IBIAS=1e-08) X,Iout (IBIAS=1e-08) Y,Iout (IBIAS=1.5e-08) X,Iout (IBIAS=1.5e-08) Y,Iout (IBIAS=2.5e-08) X,Iout (IBIAS=2.5e-08) Y
-0.2592000000000007,5.147791840442905e-10,-0.2592000000000007,5.386826036577948e-10,-0.2592000000000007,5.544954261614022e-10,-0.2592000000000007,5.655033102386388e-10,-0.2592000000000007,5.842101244674162e-10
-0.2586000000000007,5.148200405143461e-10,-0.2586000000000007,5.388057153767013e-10,-0.2586000000000007,5.547604361553819e-10,-0.2586000000000007,5.659130240324119e-10,-0.2586000000000007,5.849140791182557e-10
-0.2580000000000007,5.148618192706409e-10,-0.2580000000000007,5.38931334329899e-10,-0.2580000000000007,5.550306817682721e-10,-0.2580000000000007,5.663307650922587e-10,-0.2580000000000007,5.856317707963192e-10
-0.2574000000000007,5.149045375596504e-10,-0.2574000000000007,5.390595080851612e-10,-0.2574000000000007,5.553062633507929e-10,-0.2574000000000007,5.667566879600652e-10,-0.2574000000000007,5.863634670674344e-10
-0.2568000000000007,5.149482127543966e-10,-0.2568000000000007,5.391902852213568e-10,-0.2568000000000007,5.555872830758296e-10,-0.2568000000000007,5.671909502295943e-10,-0.2568000000000007,5.871094401584671e-10
-0.2562000000000008,5.14992863043897e-10,-0.2562000000000008,5.393237153303137e-10,-0.2562000000000008,5.558738452877835e-10,-0.2562000000000008,5.6763371303541e-10,-0.2562000000000008,5.878699680048398e-10
-0.2556000000000008,5.150385067262601e-10,-0.2556000000000008,5.394598487281049e-10,-0.2556000000000008,5.561660563656033e-10,-0.2556000000000008,5.680851399247433e-10,-0.2556000000000008,5.886453341379748e-10
-0.2550000000000008,5.150851622692236e-10,-0.2550000000000008,5.395987370364247e-10,-0.2550000000000008,5.564640245544963e-10,-0.2550000000000008,5.685453983795714e-10,-0.2550000000000008,5.894358272535274e-10
-0.2544000000000008,5.151328488119775e-10,-0.2544000000000008,5.397404325368571e-10,-0.2544000000000008,5.567678603067762e-10,-0.2544000000000008,5.690146588201451e-10,-0.2544000000000008,5.902417424630911e-10
-0.2538000000000008,5.151815857694975e-10,-0.2538000000000008,5.398849886943293e-10,-0.2538000000000008,5.570776761027449e-10,-0.2538000000000008,5.694930950126739e-10,-0.2538000000000008,5.910633800849346e-10
-0.2532000000000008,5.1523139262154e-10,-0.2532000000000008,5.400324598925441e-10,-0.2532000000000008,5.573935868269948e-10,-0.2532000000000008,5.699808838088292e-10,-0.2532000000000008,5.919010466331607e-10
-0.2526000000000008,5.152822898934382e-10,-0.2526000000000008,5.401829016162865e-10,-0.2526000000000008,5.577157096049839e-10,-0.2526000000000008,5.704782061593702e-10,-0.2526000000000008,5.927550548392709e-10
-0.2520000000000008,5.153342976600449e-10,-0.2520000000000008,5.403363707323195e-10,-0.2520000000000008,5.580441633579481e-10,-0.2520000000000008,5.709852461830008e-10,-0.2520000000000008,5.936257236100554e-10
-0.2514000000000008,5.153874370341329e-10,-0.2514000000000008,5.404929244274804e-10,-0.2514000000000008,5.583790698367946e-10,-0.2514000000000008,5.715021915911594e-10,-0.2514000000000008,5.945133779650224e-10
-0.2508000000000009,5.154417293135792e-10,-0.2508000000000009,5.406526218262798e-10,-0.2508000000000009,5.587205532607484e-10,-0.2508000000000009,5.720292339294431e-10,-0.2508000000000009,5.954183494993286e-10
-0.2502000000000009,5.154971960249804e-10,-0.2502000000000009,5.408155224777211e-10,-0.2502000000000009,5.590687395519197e-10,-0.2502000000000009,5.725665683169117e-10,-0.2502000000000009,5.963409766696834e-10
-0.2496000000000009,5.155538595867136e-10,-0.2496000000000009,5.409816878880076e-10,-0.2496000000000009,5.59423757675225e-10,-0.2496000000000009,5.731143937168238e-10,-0.2496000000000009,5.972816041496689e-10
-0.2490000000000009,5.156117423623582e-10,-0.2490000000000009,5.411511798616221e-10,-0.2490000000000009,5.597857389740625e-10,-0.2490000000000009,5.736729133244541e-10,-0.2490000000000009,5.982405838175848e-10
-0.2484000000000009,5.156708672794287e-10,-0.2484000000000009,5.413240618708935e-10,-0.2484000000000009,5.601548172310975e-10,-0.2484000000000009,5.742423336691411e-10,-0.2484000000000009,5.992182747427577e-10
-0.2478000000000009,5.157312576642349e-10,-0.2478000000000009,5.415003986693549e-10,-0.2478000000000009,5.605311288501348e-10,-0.2478000000000009,5.748228661123348e-10,-0.2478000000000009,6.002150426269247e-10
-0.2472000000000009,5.157929376846587e-10,-0.2472000000000009,5.416802559427318e-10,-0.2472000000000009,5.60914813087285e-10,-0.2472000000000009,5.754147254236295e-10,-0.2472000000000009,6.012312607174604e-10
